locale;productid;productname;productdesc;url
"pa";4;ਐਡੇਕਸਰ; ਆਪਣੀ ਚਾਵਲ ਦੀ ਫਸਲ ਨੂੰ ਐਡੀਕਸੈਰੀ ਦੇ ਨਾਲ ਅੰਦਰੋਂ ਮਜਬੂਤ ਬਣਾਉ, ਮਿਆਨ ਝੁਲਸ ਦੇ ਸ਼ਾਨਦਾਰ ਨਿਯੰਤਰਣ ਲਈ ਇੱਕ ਨਵੀਨਤਾਕਾਰੀ ਉੱਲੀਮਾਰ. ਐਡੇਕਸੈਰੀ ਇਕ ਬਹੁਤ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਉੱਲੀਮਾਰ ਹੈ ਜੋ ਨਵੀਨਤਾਕਾਰੀ ਸਰਗਰਮ ਸਮੱਗਰੀ ਜ਼ੇਮੀਅਮ® ਦੇ ਅਧਾਰ ਤੇ ਹੈ.;https://crop-protection.basf.in/en/fungicide/adexar
"hi";4;अडेक्सर; शीथ ब्लाइट के उत्कृष्ट नियंत्रण के लिए एक अभिनव कवकनाशी, एडेक्सर के साथ अपनी चावल की फसल को अंदर से मजबूत बनाएं। एडेक्सर अभिनव सक्रिय संघटक ज़ेमियम पर आधारित एक अत्यधिक प्रभावी कवकनाशी है।;https://crop-protection.basf.in/hi/fungicide/adexar
"kan";5;ಬಸಗ್ರಾನ್; ಕಠಿಣ ಕಳೆ ಸಮಸ್ಯೆಗಳಿಗೆ BASF ನ ಸಾಬೀತಾದ ಪರಿಹಾರವಾದ ಬಸಾಗ್ರಾನಾದೊಂದಿಗೆ ನಿಮ್ಮ ಭತ್ತದ ಗದ್ದೆಯಲ್ಲಿರುವ ಸೆಡ್ಜ್ ಮತ್ತು ವಿಶಾಲ ಎಲೆ ಕಳೆಗಳನ್ನು ತೊಡೆದುಹಾಕಲು.;https://crop-protection.basf.in/en/herbicide/basagran
"pa";5;ਬਾਸਾਗ੍ਰਾਂ; ਆਪਣੇ ਚਾਵਲ ਦੇ ਖੇਤ ਵਿਚ ਬਾਂਹ ਅਤੇ ਵਿਆਪਕ ਪੱਤਿਆਂ ਦੇ ਬੂਟੀ ਤੋਂ ਛੁਟਕਾਰਾ ਪਾਓ, ਬੀਐਸਐਫ ਦੁਆਰਾ ਸਖ਼ਤ ਬੂਟੀ ਦੀਆਂ ਮੁਸ਼ਕਲਾਂ ਦਾ ਸਾਬਤ ਹੱਲ.;https://crop-protection.basf.in/en/herbicide/basagran
"hi";5;बसगरन; अपने चावल के खेत में सेज और चौड़ी पत्ती वाले खरपतवारों से छुटकारा पाएं, बासग्रान® के साथ, कठिन खरपतवार समस्याओं के लिए बीएएसएफ का सिद्ध समाधान।;https://crop-protection.basf.in/hi/herbicide/basagran
"kan";6;ಸೆಫಿನಾ; ಸೆಫಿನಾ, ಬಿಎಎಸ್‌ಎಫ್‌ನ ಹೊಸ ಸಕ್ರಿಯ ಘಟಕಾಂಶವಾದ ಇನ್‌ಸ್ಕಾಲಿಸ್ಟಿಎಂನಿಂದ ನಡೆಸಲ್ಪಡುತ್ತದೆ, ಇದು ಹೊಸ ರಾಸಾಯನಿಕ ವರ್ಗದಿಂದ ಪೈರೋಪೆನ್ಸ್‌ನಿಂದ ಬಂದ ಮೊದಲನೆಯದು. InscalisTM ಒಂದು ಪ್ರವರ್ತಕ ಪರಿಹಾರವಾಗಿದ್ದು, ಇದನ್ನು ಕೀಟನಾಶಕ ನಿರೋಧಕ ಕ್ರಿಯಾ ಸಮಿತಿ (IRAC) ಹೊಸ ಕ್ರಮದ ಉಪಗುಂಪು 9D ಯ ಏಕೈಕ ಸದಸ್ಯ ಎಂದು ವರ್ಗೀಕರಿಸಿದೆ.;https://crop-protection.basf.in/en/insecticide/sefina
"pa";6;ਸੇਫੀਨਾ; ਸੇਫੀਨਾ, ਜੋ ਬੀਏਐਸਐਫ ਦੀ ਨਵੀਂ ਕਿਰਿਆਸ਼ੀਲ ਸਮੱਗਰੀ ਇਨਸਕਾਲਿਸਟੀਐਮ ਦੁਆਰਾ ਸੰਚਾਲਿਤ ਹੈ, ਇਕ ਨਵੀਂ ਰਸਾਇਣਕ ਕਲਾਸ - ਪਾਇਰੋਪੈਨਜ਼ ਤੋਂ ਆਪਣੀ ਕਿਸਮ ਦੀ ਪਹਿਲੀ ਹੈ. ਇਨਸਕਾਲਿਸਟੀਐਮ ਇਕ ਪਾਇਨੀਅਰ ਹੱਲ ਹੈ ਜਿਸ ਨੂੰ ਕੀਟਨਾਸ਼ਕ ਰੋਕੂ ਐਕਸ਼ਨ ਕਮੇਟੀ (ਆਈਆਰਏਸੀ) ਦੁਆਰਾ ਐਕਸ਼ਨ ਸਬਗਰੁੱਪ 9 ਡੀ ਦੇ ਨਵੇਂ modeੰਗ ਵਿਚ ਇਕੋ ਮੈਂਬਰ ਵਜੋਂ ਸ਼੍ਰੇਣੀਬੱਧ ਕੀਤਾ ਗਿਆ ਹੈ.;https://crop-protection.basf.in/en/insecticide/sefina
"hi";6;सेफिना; सेफिना, बीएएसएफ के नए सक्रिय संघटक इंसकैलिसटीएम द्वारा संचालित, एक नए रासायनिक वर्ग - पाइरोपेन्स से अपनी तरह का पहला है। InscalisTM एक अग्रणी समाधान है जिसे कीटनाशक प्रतिरोध कार्रवाई समिति (IRAC) द्वारा कार्रवाई उपसमूह 9D के नए मोड में एकमात्र सदस्य के रूप में वर्गीकृत किया गया है।;https://crop-protection.basf.in/hi/insecticide/sefina
"kan";7;ಟೈಂಜರ್; ಬಿಎಎಸ್‌ಎಫ್‌ನ ಟೈನ್‌ಜೆರ್- ಕಾರ್ನ್‌ನ ಅತ್ಯುತ್ತಮ ಸಸ್ಯನಾಶಕವನ್ನು ಆರಿಸಿ, ಇದನ್ನು ಭಾರತದಾದ್ಯಂತ ಅನೇಕ ಪ್ರಗತಿಪರ ರೈತರು ಪ್ರಯತ್ನಿಸುತ್ತಾರೆ ಮತ್ತು ಪರೀಕ್ಷಿಸುತ್ತಾರೆ. ನಿಮ್ಮ ಬೆಳೆಯ ಸಂಪೂರ್ಣ ಸುರಕ್ಷತೆಯನ್ನು ಖಾತ್ರಿಪಡಿಸಿಕೊಳ್ಳುವಾಗ ಕಿರಿದಾದ ಎಲೆ ಮತ್ತು ವಿಶಾಲ ಎಲೆಗಳ ಕಳೆಗಳ ಮೇಲೆ ಟೈನ್ಜೆರ್ effective ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣವನ್ನು ಒದಗಿಸುತ್ತದೆ.;https://crop-protection.basf.in/en/herbicide/tynzer
"pa";7;ਟਿੰਜ਼ਰ; ਬੀਏਐਸਐਫ ਦਾ ਟਿੰਜ਼ਰ®- ਮੱਕੀ ਲਈ ਸਭ ਤੋਂ ਵਧੀਆ ਜੜ੍ਹੀਆਂ ਦਵਾਈਆਂ ਦੀ ਚੋਣ ਕਰੋ ਜੋ ਪੂਰੇ ਭਾਰਤ ਵਿੱਚ ਬਹੁਤ ਸਾਰੇ ਅਗਾਂਹਵਧੂ ਕਿਸਾਨਾਂ ਦੁਆਰਾ ਅਜ਼ਮਾਇਸ਼ ਕੀਤੀ ਜਾਂਦੀ ਹੈ. Tynzer® ਤੁਹਾਡੀ ਫਸਲ ਦੀ ਪੂਰੀ ਸੁਰੱਖਿਆ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਵੇਲੇ ਤੰਗ ਪੱਤੇ ਅਤੇ ਚੌੜੇ ਪੱਤਿਆਂ ਦੇ ਨਦੀਨਾਂ ਉੱਤੇ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ ਪ੍ਰਦਾਨ ਕਰਦਾ ਹੈ.;https://crop-protection.basf.in/en/herbicide/tynzer
"hi";7;टाइनज़र; बीएएसएफ के टाइनज़र® को चुनें- मकई के लिए सबसे अच्छा शाकनाशी जिसे पूरे भारत में कई प्रगतिशील किसानों द्वारा आजमाया और परखा गया है। Tynzer® आपकी फसल की पूर्ण सुरक्षा सुनिश्चित करते हुए संकरी पत्ती और चौड़ी पत्ती वाले खरपतवारों पर प्रभावी नियंत्रण प्रदान करता है।;https://crop-protection.basf.in/hi/herbicide/tynzer
